blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
92.0,154.0,17.0,15.0,117,266.0,30.0,711.0,81.0,32,blue,NA1_4059452627
875.0,120.0,161.0,21.0,111,79.0,203.0,101.0,119.0,412,red,NA1_4057845314
875.0,104.0,55.0,51.0,267,98.0,59.0,7.0,236.0,147,blue,NA1_4053818342
6.0,59.0,134.0,18.0,147,164.0,427.0,101.0,236.0,432,red,NA1_4055287366
86.0,427.0,777.0,67.0,350,24.0,20.0,875.0,145.0,53,red,NA1_4057135953
84.0,427.0,62.0,236.0,53,114.0,876.0,246.0,119.0,497,red,NA1_4059606625
92.0,421.0,134.0,67.0,555,164.0,121.0,69.0,523.0,267,red,NA1_4059043117
23.0,107.0,30.0,145.0,43,164.0,234.0,238.0,498.0,143,red,NA1_4060902501
31.0,131.0,777.0,21.0,32,141.0,98.0,517.0,119.0,143,red,NA1_4054409575
10.0,104.0,240.0,21.0,32,39.0,30.0,23.0,18.0,63,blue,NA1_4056598702
54.0,5.0,166.0,50.0,32,113.0,11.0,69.0,236.0,25,red,NA1_4060997783
34.0,141.0,238.0,67.0,201,777.0,64.0,517.0,360.0,111,blue,NA1_4050514316
240.0,876.0,3.0,236.0,235,92.0,203.0,55.0,81.0,43,red,NA1_4052646819
164.0,76.0,131.0,21.0,412,6.0,5.0,517.0,222.0,26,blue,NA1_4051230611
31.0,141.0,711.0,81.0,117,85.0,121.0,238.0,96.0,111,red,NA1_4052196076
98.0,246.0,517.0,81.0,267,875.0,245.0,777.0,523.0,412,blue,NA1_4052626833
777.0,64.0,875.0,22.0,89,150.0,203.0,7.0,67.0,32,blue,NA1_4055980913
875.0,9.0,166.0,18.0,89,98.0,154.0,711.0,119.0,99,red,NA1_4058705421
126.0,163.0,254.0,555.0,111,23.0,245.0,246.0,81.0,432,blue,NA1_4059574896
24.0,64.0,42.0,202.0,101,92.0,163.0,23.0,81.0,711,red,NA1_4056267645
114.0,163.0,157.0,202.0,25,104.0,36.0,54.0,21.0,63,red,NA1_4050406958
85.0,59.0,246.0,51.0,412,92.0,245.0,45.0,222.0,89,red,NA1_4056055835
875.0,44.0,245.0,51.0,63,777.0,64.0,711.0,145.0,32,blue,NA1_4061044593
41.0,104.0,115.0,222.0,497,86.0,238.0,42.0,360.0,111,red,NA1_4051885055
17.0,2.0,517.0,15.0,43,8.0,238.0,142.0,119.0,32,blue,NA1_4056178513
126.0,121.0,711.0,236.0,432,875.0,876.0,91.0,15.0,350,blue,NA1_4058502867
14.0,121.0,517.0,37.0,147,268.0,246.0,516.0,110.0,89,blue,NA1_4050926917
516.0,131.0,157.0,81.0,32,24.0,421.0,777.0,69.0,53,red,NA1_4050607360
62.0,60.0,238.0,119.0,497,23.0,427.0,69.0,523.0,412,red,NA1_4059504494
43.0,107.0,777.0,81.0,163,67.0,59.0,55.0,21.0,53,blue,NA1_4060067535
